Format: Discord Username / Challonge Username / Deck submitted



7836                 / InvertedComposer /     Monarchs
_ArranBlastsU_       / FruityFuut       /     Altergeists
Crioliix             / Crioliix         /     Crystal Beasts
Chris Ferries        / Christopilus     /     Dark Magicians
Finn                 / Finn             /     Harpies
FlameFlash           / Flame Flash      /     Red-eyes
fruitpunchsamuraiG   / donaldzurump     /     Altergeists
GoWish               / GoWish           /     World Chalice
hak                  / hak              /     Heroes
Hane Kuribō          / HaneKuribo       /     Goukis
Hawkcrusher7         / Hawkcrusher7     /     Weather Painters
Hurricane_Chaos      / Hurricane_Chaos  /     Lavalval World Chalice Synchron
Titan Iridious       / Iridious         /     Cyber Dragons + Machines
Kaomma               / Kaomma           /     Red Dragon Archfiend
KING OF BRAVES       / KING_OF_BRAVES   /     DDD
987                  / kuyana           /     Pendulum magicians
LadyLexis            / Doodle Flare     /     Yang Zings
mosdeadly            / mosdeadly        /     Marshmacaron Lava Golem Stall
NekoXNeko            / NekoXNeko        /     Zefra
Totally NotSeth      / No Seth          /     Grinder Restrict
rAyYLaMao            / Treerex          /     Invoked Brandish
Soulbert             / Soulbert         /     Blue-Eyes
StardustNobody       / OddEyesStardust  /     Pendulum Magicians
Tungnon              / Tungnon          /     Pendulum Magicians
Warrick01            / Warrick01        /     Insects (Weevil Underwood)
Yo-yo Kaiser         / Yo-yo Kaiser     /     Skull Servants
